Country,Year,Found_Value
Canada,2012,26.1
Canada,2013,26.4
Canada,2014,27.3
Canada,2015,28.1
Canada,2016,27.5
Canada,2017,26.9
Canada,2018,25.6
Canada,2019,24.3
Canada,2020,26.2
Canada,2021,27.9
New Zealand,2012,28.8
New Zealand,2013,31
New Zealand,2014,30.1
New Zealand,2015,30.9
New Zealand,2016,31.8
New Zealand,2017,32.4
New Zealand,2018,32.5
New Zealand,2019,31.3
New Zealand,2020,31.2
New Zealand,2021,34.3
United Kingdom,2012,24.7
United Kingdom,2013,24.9
United Kingdom,2014,25.6
United Kingdom,2015,26.9
United Kingdom,2016,26.2
United Kingdom,2017,28.7
United Kingdom,2018,27.7
United Kingdom,2019,28
United Kingdom,2020,28.6
United Kingdom,2021,29.1
Japan,2012,3.6
Japan,2013,3.7
Japan,2014,3.9
Japan,2015,3.7
Japan,2016,4.2
Japan,2017,4.4
Japan,2018,4
Japan,2019,4.6
Japan,2020,4.9
Japan,2021,5.2
Korea,2012,4.6
Korea,2013,4.7
Korea,2014,4.3
Korea,2015,5.3
Korea,2016,5.5
Korea,2017,5.4
Korea,2018,5.9
Korea,2019,5.9
Korea,2020,7.4
Korea,2021,7
